MES,IPC NACIONAL EMPALME IPIM
1993-01,7.467066734660648
1993-02,7.500999417217874
1993-03,7.522855448481697
1993-04,7.5619707627410095
1993-05,7.537982485718596
1993-06,7.552286862399169
1993-07,7.560007680282113
1993-08,7.593226913768704
1993-09,7.564167263157522
1993-10,7.576930465478956
1993-11,7.511062379401942
1993-12,7.448859391226043
1994-01,7.412588095971749
1994-02,7.365882764472739
1994-03,7.371909258859708
1994-04,7.398275171802697
1994-05,7.4849060286153755
1994-06,7.543664348888322
1994-07,7.581329938806878
1994-08,7.573796820823167
1994-09,7.573043509024796
1994-10,7.594136239379187
1994-11,7.655907806845618
1994-12,7.668714107417927
1995-01,7.777191006383367
1995-02,7.807323478318212
1995-03,7.760618146819202
1995-04,8.020510717257237
1995-05,8.03030377063606
1995-06,8.05516305998231
1995-07,8.085295531917152
1995-08,8.110154821263398
1995-09,8.111661444860141
1995-10,8.102621703279688
1995-11,8.088308779110637
1995-12,8.115428003851997
1996-01,8.133507487012903
1996-02,8.12522105723082
1996-03,8.188499248293995
1996-04,8.310535759630115
1996-05,8.329368554589392
1996-06,8.26684367532459
1996-07,8.257050621945766
1996-08,8.231438020801148
1996-09,8.325601995597538
1996-10,8.359501026524237
1996-11,8.29396290006595
1996-12,8.282663223090385
1997-01,8.312795695025228
1997-02,8.298482770856177
1997-03,8.274376793308301
1997-04,8.238217826986489
1997-05,8.290196341074095
1997-06,8.257050621945766
1997-07,8.220891655623952
1997-08,8.277390040501786
1997-09,8.287936405678982
1997-10,8.278143352300157
1997-11,8.260817180937622
1997-12,8.2065787314549
1998-01,8.102621703279688
1998-02,8.13124755161779
1998-03,8.110154821263398
1998-04,8.116934627448739
1998-05,8.100361767884575
1998-06,8.100361767884575
1998-07,8.076255790336699
1998-08,8.025030588047464
1998-09,7.940659666629898
1998-10,7.8547821216155915
1998-11,7.781710877173594
1998-12,7.692820084965803
1999-01,7.658167742240731
1999-02,7.594889551177557
1999-03,7.610709098943351
1999-04,7.684533655183721
1999-05,7.681520407990236
1999-06,7.674740601804896
1999-07,7.6890535259739465
1999-08,7.708639632731596
1999-09,7.773424447391512
1999-10,7.764384705811058
1999-11,7.7478118462468935
1999-12,7.785477436165449
2000-01,7.8788880991634676
2000-02,7.947439472815239
2000-03,7.9881183099272794
2000-04,7.890941087937406
2000-05,7.973805385758228
2000-06,8.015990846467009
2000-07,8.004691169491444
2000-08,8.019004093660495
2000-09,8.116181315650367
2000-10,8.132754175214531
2000-11,8.122961121835708
2000-12,7.972298762161485
2001-01,7.97531200935497
2001-02,7.9843517509354225
2001-03,7.9316199250494455
2001-04,7.916553689082023
2001-05,7.922580183468992
2001-06,7.8871745289455495
2001-07,7.859301992405818
2001-08,7.820883090688891
2001-09,7.786984059762192
2001-10,7.670220731014669
2001-11,7.563250455645972
2001-12,7.549690843275291
2002-01,8.03030377063606
2002-02,9.020155473695702
2002-03,10.154643042042599
2002-04,12.176531908870665
2002-05,13.677882323024292
2002-06,14.84626892229789
2002-07,15.536302529605829
2002-08,16.319746799911783
2002-09,16.71749542945173
2002-10,16.800359727272557
2002-11,16.521634361875243
2002-12,16.455342923618584
2003-01,16.52464760906873
2003-02,16.588679111930272
2003-03,16.474929030376234
2003-04,16.173604311027788
2003-05,16.07040059465095
2003-06,16.048554552498185
2003-07,16.042528058111216
2003-08,16.26174179143721
2003-09,16.233869254897478
2003-10,16.320500111710157
2003-11,16.489995266343655
2003-12,16.77700706152305
2004-01,16.720508676645217
2004-02,16.95328202234189
2004-03,17.02710657858226
2004-04,17.16345601408743
2004-05,17.384176371010167
2004-06,17.423348584525463
2004-07,17.58305068578014
2004-08,18.00867185185982
2004-09,18.050857312568603
2004-10,18.15632096434056
2004-11,17.940120478208048
2004-12,18.09680933226924
2005-01,17.923547618643884
2005-02,18.114135503631775
2005-03,18.471205296059683
2005-04,18.74089091987654
2005-05,18.72733130750586
2005-06,18.771776703609756
2005-07,19.006809984701544
2005-08,19.244103201188445
2005-09,19.607952799801694
2005-10,19.82867315672443
2005-11,19.84449270449022
2005-12,20.022274288905805
2006-01,20.294219848117773
2006-02,20.61513067422387
2006-03,20.487067668500778
2006-04,20.783872517058995
2006-05,20.866736814879822
2006-06,21.03472534591658
2006-07,21.184634393792432
2006-08,21.3209838292976
2006-09,21.265238756218142
2006-10,21.353376236627557
2006-11,21.37371565518358
2006-12,21.458086576601147
2007-01,21.533417756438258
2007-02,21.71195265265221
2007-03,21.84754877635901
2007-04,22.22571129914131
2007-05,22.57072810279528
2007-06,23.009908881245636
2007-07,23.531953957516816
2007-08,23.711242165529143
2007-09,23.954561876403012
2007-10,24.17528223332575
2007-11,24.42839499757844
2007-12,24.582070604446148
2008-01,24.776425048425892
2008-02,25.006185146929084
2008-03,25.28566382412477
2008-04,25.59753490865041
2008-05,25.870987091459124
2008-06,26.180598240589653
2008-07,26.378719243561253
2008-08,26.598686288685617
2008-09,26.747088712964725
2008-10,26.894737825445464
2008-11,26.820159957406723
2008-12,26.75010196015821
2009-01,26.72825591800545
2009-02,26.765921507924006
2009-03,27.072519409861048
2009-04,27.200582415584137
2009-05,27.33015204490397
2009-06,27.639009882236124
2009-07,27.983273374091723
2009-08,28.27480504006134
2009-09,28.56407677063585
2009-10,28.82848921186411
2009-11,29.132073866607673
2009-12,29.49667677701929
2010-01,29.894425406559233
2010-02,30.353945603565613
2010-03,30.814972424168737
2010-04,31.171288904798274
2010-05,31.547944803983828
2010-06,31.931380509354724
2010-07,32.24023834668688
2010-08,32.56190248459134
2010-09,32.8654871393349
2010-10,33.1630452996915
2010-11,33.4756696960155
2010-12,33.791307339533
2011-01,34.16118343253322
2011-02,34.47908101144583
2011-03,34.81053820272912
2011-04,35.160074877173315
2011-05,35.52166454039145
2011-06,35.92694628791511
2011-07,36.28853595113324
2011-08,36.65690542053672
2011-09,37.0328080079239
2011-10,37.370291693594154
2011-11,37.72660817422369
2011-12,38.07388491327278
2012-01,38.4384878236844
2012-02,38.818156970063434
2012-03,39.27692385527144
2012-04,39.721377816310394
2012-05,40.12665956383405
2012-06,40.52440819337401
2012-07,40.91763695212372
2012-08,41.34099818280829
2012-09,41.80127169161304
2012-10,42.23367266387806
2012-11,42.65778720636099
2012-12,43.07210869546511
2013-01,43.50978285031873
2013-02,43.9693030473251
2013-03,44.41225038476731
2013-04,44.83862486264537
2013-05,45.40210208782696
2013-06,46.01303795630593
2013-07,46.53432972077874
2013-08,47.06089466784015
2013-09,47.57540662612762
2013-10,48.11779112095482
2013-11,48.70311438828917
2013-12,49.430060273717295
2014-01,51.878323618423416
2014-02,54.53525433127834
2014-03,55.86258972000823
2014-04,56.823062262931394
2014-05,57.884478586836295
2014-06,58.75606033755168
2014-07,59.54703772584134
2014-08,60.51880994574008
2014-09,61.48380235945347
2014-10,62.237114157824585
2014-11,62.805111253796404
2014-12,63.403240821703065
2015-01,63.53055051562779
2015-02,63.68874599328572
2015-03,64.31324147413537
2015-04,64.79234777789941
2015-05,65.75282032082256
2015-06,66.61762226535261
2015-07,67.57508156108229
2015-08,68.54007397479569
2015-09,69.46589417499378
2015-10,70.1099757626011
2015-11,71.5121752778531
2015-12,74.30115011368937
2016-01,80.98825362392141
2016-02,85.03766630511748
2016-03,87.07857029644032
2016-04,88.38474885088691
2016-05,91.56659980951885
2016-06,94.22203120399489
2016-07,96.76602604650274
2016-08,97.15309015068875
2016-09,97.54170251129152
2016-10,98.12695272635928
2016-11,99.20634920634922
2016-12,100.00000000000001
2017-01,101.5859
2017-02,103.6859
2017-03,106.1476
2017-04,108.9667
2017-05,110.5301
2017-06,111.8477
2017-07,113.7852
2017-08,115.3819
2017-09,117.5719
2017-10,119.3528
2017-11,120.994
2017-12,124.7956
2018-01,126.9887
2018-02,130.0606
2018-03,133.1054
2018-04,136.7512
2018-05,139.5893
2018-06,144.8053
2018-07,149.2966
2018-08,155.1034
2018-09,165.2383
2018-10,174.1473
2018-11,179.6388
2018-12,184.2552
2019-01,189.6101
2019-02,196.7501
2019-03,205.9571
2019-04,213.0517
2019-05,219.5691
2019-06,225.537
2019-07,230.494
2019-08,239.6077
2019-09,253.7102
2019-10,262.0661
2019-11,273.2158
2019-12,283.4442
2020-01,289.8299
2020-02,295.666
2020-03,305.5515
2020-04,310.1243
2020-05,314.9087
2020-06,321.9738
2020-07,328.2014
2020-08,337.0632
2020-09,346.6207
2020-10,359.657
2020-11,371.0211
2020-12,385.8826
2021-01,401.5071
2021-02,415.8595
2021-03,435.8657
2021-04,453.6503
2021-05,468.725
2021-06,483.6049
2021-07,498.0987
2021-08,510.3942
2021-09,528.4968
2021-10,547.0802
2021-11,560.9184
2021-12,582.4575
2022-01,605.0317
2022-02,633.4341
2022-03,676.0566
2022-04,716.9399
2022-05,753.147
2022-06,793.0278
2022-07,851.761
2022-08,911.1316
2022-09,967.3076
2022-10,1028.706
2022-11,1079.2787
2022-12,1134.5875
2023-01,1202.979
2023-02,1282.7091
